,Rep,Peak,Intensity,UV,Substrate,cma,Aminoacid
712,0,829.726807,33.82718917,72h,Olivine,27.58283052,Tyr
1727,5,829.726807,16.902668,72h,Olivine,18.02566081,Tyr
2742,10,829.726807,12.99750267,72h,Olivine,16.48033918,Tyr
3757,16,829.726807,13.75147625,72h,Olivine,18.54362998,Tyr
4772,0,829.726807,37.73035683,72h,Olivine,44.30257877,Tyr
5787,5,829.726807,74.32447308,72h,Olivine,48.30842151,Tyr
6802,10,829.726807,66.86253867,72h,Olivine,40.1640432,Tyr
7817,16,829.726807,70.16128542,72h,Olivine,38.38615281,Tyr
8832,0,829.726807,70.84356183,72h,Olivine,26.47767569,Tyr
9847,5,829.726807,51.82714333,72h,Olivine,29.79141629,Tyr
10862,10,829.726807,44.2637075,72h,Olivine,27.98528023,Tyr
11877,16,829.726807,39.029391,72h,Olivine,26.08533153,Tyr
12892,0,829.726807,0.735327917,72h,Olivine,18.31135332,Tyr
13907,5,829.726807,7.910252917,72h,Olivine,15.60260718,Tyr
14922,10,829.726807,10.76319375,72h,Olivine,15.07598227,Tyr
15937,16,829.726807,14.04990642,72h,Olivine,16.91126189,Tyr
16952,0,829.726807,59.03896583,72h,Olivine,54.12251015,Tyr
17967,5,829.726807,68.68041483,72h,Olivine,48.81451775,Tyr
18982,10,829.726807,63.208018,72h,Olivine,43.13443074,Tyr
19997,16,829.726807,60.39514667,72h,Olivine,40.1530593,Tyr
21012,0,829.726807,6.300730417,72h,Olivine,11.96531611,Tyr
22027,5,829.726807,14.64460117,72h,Olivine,12.48608955,Tyr
23042,11,829.726807,22.89101158,72h,Olivine,18.84963294,Tyr
24057,16,829.726807,26.0386785,72h,Olivine,19.87785953,Tyr
25072,0,829.726807,43.84005733,72h,Olivine,35.50154008,Tyr
26087,5,829.726807,35.11693825,72h,Olivine,29.92057392,Tyr
27102,11,829.726807,30.34453325,72h,Olivine,26.17987547,Tyr
28117,16,829.726807,29.44838967,72h,Olivine,26.09615102,Tyr
29132,0,829.726807,329.6062012,72h,Olivine,177.6109698,Tyr
30147,5,829.726807,294.517395,72h,Olivine,170.7264767,Tyr
31162,11,829.726807,265.6661173,72h,Olivine,157.0184414,Tyr
32177,16,829.726807,235.0939942,72h,Olivine,139.2314435,Tyr
33192,0,829.726807,57.28130592,72h,Olivine,69.36519067,Tyr
34207,5,829.726807,42.03412883,72h,Olivine,45.34796855,Tyr
35222,10,829.726807,36.24555458,72h,Olivine,38.52176249,Tyr
36237,16,829.726807,33.92890167,72h,Olivine,34.8966528,Tyr
37252,0,829.726807,54.99670408,72h,Olivine,40.8062272,Tyr
38267,5,829.726807,42.97325133,72h,Olivine,32.73854889,Tyr
39282,10,829.726807,33.51444242,72h,Olivine,25.06351916,Tyr
40297,16,829.726807,30.78699492,72h,Olivine,23.45917623,Tyr
41312,0,829.726807,428.917694,0h,Olivine,292.6216032,Tyr
42327,5,829.726807,330.970184,0h,Olivine,225.798715,Tyr
43342,10,829.726807,284.782837,0h,Olivine,194.2882075,Tyr
44357,16,829.726807,257.650024,0h,Olivine,175.7772807,Tyr
45372,0,829.726807,607.596008,0h,Olivine,382.9492631,Tyr
46387,5,829.726807,403.928497,0h,Olivine,254.5838436,Tyr
47402,11,829.726807,335.71521,0h,Olivine,211.5911234,Tyr
48417,16,829.726807,288.226135,0h,Olivine,181.6603257,Tyr
49432,0,829.726807,173.857498,0h,Olivine,244.3569335,Tyr
50447,5,829.726807,121.743324,0h,Olivine,171.110491,Tyr
51462,10,829.726807,103.93248,0h,Olivine,146.0772101,Tyr
52477,16,829.726807,95.342026,0h,Olivine,134.0029653,Tyr
53492,0,829.726807,777.046204,0h,Olivine,324.7417125,Tyr
54507,5,829.726807,487.371124,0h,Olivine,203.6812487,Tyr
55522,10,829.726807,384.719727,0h,Olivine,160.7815005,Tyr
56537,16,829.726807,327.80954,0h,Olivine,136.9976821,Tyr
57552,0,829.726807,1715.862183,0h,Olivine,889.3946825,Tyr
58567,5,829.726807,1685.000366,0h,Olivine,913.001849,Tyr
59582,10,829.726807,1601.881958,0h,Olivine,879.5499863,Tyr
60597,16,829.726807,1525.582642,0h,Olivine,843.8017897,Tyr
61612,0,829.726807,205.172485,0h,Olivine,154.3663001,Tyr
62627,5,829.726807,179.014679,0h,Olivine,110.4512009,Tyr
63642,10,829.726807,180.670715,0h,Olivine,101.6862307,Tyr
64657,16,829.726807,171.312363,0h,Olivine,92.36384864,Tyr
65672,0,829.726807,288.543335,0h,Olivine,212.081887,Tyr
66687,5,829.726807,184.423264,0h,Olivine,135.5522564,Tyr
67702,10,829.726807,151.023331,0h,Olivine,111.0034117,Tyr
68717,16,829.726807,122.99025,0h,Olivine,90.39873291,Tyr
69732,0,829.726807,1373.262695,0h,Olivine,947.2537286,Tyr
70747,5,829.726807,1003.436401,0h,Olivine,692.1536547,Tyr
71762,10,829.726807,844.656311,0h,Olivine,582.6299135,Tyr
72777,16,829.726807,758.853516,0h,Olivine,523.4447049,Tyr
73792,0,829.726807,535.119324,0h,Olivine,471.7534264,Tyr
74807,5,829.726807,367.591644,0h,Olivine,324.0634668,Tyr
75822,10,829.726807,305.831055,0h,Olivine,269.616451,Tyr
76837,16,829.726807,273.80072,0h,Olivine,241.3787424,Tyr
77852,0,829.726807,638.629517,0h,Olivine,427.4615376,Tyr
78867,5,829.726807,448.230499,0h,Olivine,300.0194177,Tyr
79882,11,829.726807,371.488129,0h,Olivine,248.6524998,Tyr
80897,16,829.726807,321.888184,0h,Olivine,215.4530657,Tyr
81912,0,829.726807,28.24649238,72h,MGS-1,67.4538744,Tyr
82927,5,829.726807,53.4690475,72h,MGS-1,58.11240264,Tyr
83942,10,829.726807,50.04673388,72h,MGS-1,38.89546222,Tyr
84957,16,829.726807,45.5392265,72h,MGS-1,35.5165198,Tyr
85972,0,829.726807,22.42406275,72h,MGS-1,25.47278185,Tyr
86987,5,829.726807,22.11868863,72h,MGS-1,27.35697258,Tyr
88002,10,829.726807,22.37382313,72h,MGS-1,28.29061397,Tyr
89017,16,829.726807,20.33617025,72h,MGS-1,26.48905372,Tyr
90032,0,829.726807,67.064949,72h,MGS-1,43.15495877,Tyr
91047,5,829.726807,67.8962555,72h,MGS-1,44.82815358,Tyr
92062,10,829.726807,68.94937138,72h,MGS-1,47.09390315,Tyr
93077,16,829.726807,64.79332738,72h,MGS-1,44.54658558,Tyr
94092,0,829.726807,27.58934788,72h,MGS-1,22.84329019,Tyr
95107,5,829.726807,6.980401,72h,MGS-1,18.98205574,Tyr
96122,10,829.726807,1.573883625,72h,MGS-1,16.7426235,Tyr
97137,16,829.726807,-0.725214875,72h,MGS-1,15.07980817,Tyr
98152,0,829.726807,13.43229863,72h,MGS-1,28.15523039,Tyr
99167,5,829.726807,12.78475763,72h,MGS-1,17.97211347,Tyr
100182,11,829.726807,18.16045575,72h,MGS-1,17.4147671,Tyr
101197,16,829.726807,18.83216475,72h,MGS-1,16.28534001,Tyr
102212,0,829.726807,29.63834188,72h,MGS-1,37.305669,Tyr
103227,5,829.726807,23.09526825,72h,MGS-1,23.5447855,Tyr
104242,10,829.726807,21.43767925,72h,MGS-1,19.42791011,Tyr
105257,16,829.726807,19.68144038,72h,MGS-1,15.61558172,Tyr
106272,0,829.726807,13.00210475,72h,MGS-1,7.261358011,Tyr
107287,5,829.726807,2.13368725,72h,MGS-1,7.730852898,Tyr
108302,10,829.726807,0.473878375,72h,MGS-1,9.60852625,Tyr
109317,16,829.726807,-1.374619625,72h,MGS-1,11.16253016,Tyr
110332,0,829.726807,-10.37730213,72h,MGS-1,19.05567277,Tyr
111347,5,829.726807,17.03269763,72h,MGS-1,22.49273623,Tyr
112362,10,829.726807,25.78318213,72h,MGS-1,23.09201168,Tyr
113377,16,829.726807,36.0811005,72h,MGS-1,27.14227018,Tyr
114392,0,829.726807,35.93582913,72h,MGS-1,41.73272047,Tyr
115407,5,829.726807,32.07993313,72h,MGS-1,33.95980895,Tyr
116422,10,829.726807,32.8552475,72h,MGS-1,30.39844848,Tyr
117437,16,829.726807,33.88162238,72h,MGS-1,28.74828625,Tyr
118452,0,829.726807,7.03380825,72h,MGS-1,13.86500808,Tyr
119467,5,829.726807,4.154738875,72h,MGS-1,16.94632684,Tyr
120482,10,829.726807,3.4560215,72h,MGS-1,17.963012,Tyr
121497,16,829.726807,2.47772,72h,MGS-1,17.3616892,Tyr
122512,0,829.726807,287.194702,0h,MGS-1,214.4931921,Tyr
123527,5,829.726807,234.138504,0h,MGS-1,174.8679002,Tyr
124542,10,829.726807,212.682068,0h,MGS-1,158.8430748,Tyr
125557,16,829.726807,198.716217,0h,MGS-1,148.4124999,Tyr
126572,0,829.726807,45.281849,0h,MGS-1,48.519117,Tyr
127587,5,829.726807,49.982868,0h,MGS-1,53.55630582,Tyr
128602,11,829.726807,54.196228,0h,MGS-1,58.07094327,Tyr
129617,16,829.726807,58.34713,0h,MGS-1,62.51851655,Tyr
130632,0,829.726807,785.386719,0h,MGS-1,493.4250559,Tyr
131647,5,829.726807,637.907227,0h,MGS-1,400.770073,Tyr
132662,10,829.726807,562.020264,0h,MGS-1,353.093533,Tyr
133677,16,829.726807,526.373596,0h,MGS-1,330.6983136,Tyr
134692,0,829.726807,95.832573,0h,MGS-1,80.650731,Tyr
135707,5,829.726807,93.571602,0h,MGS-1,78.74798782,Tyr
136722,10,829.726807,92.799416,0h,MGS-1,78.09801845,Tyr
137737,16,829.726807,93.350182,0h,MGS-1,78.56152036,Tyr
138752,0,829.726807,13.822169,0h,MGS-1,16.11489655,Tyr
139767,5,829.726807,15.334483,0h,MGS-1,19.81496609,Tyr
140782,10,829.726807,23.782663,0h,MGS-1,29.35576791,Tyr
141797,16,829.726807,26.035213,0h,MGS-1,31.95629773,Tyr
142812,0,829.726807,535.943848,0h,MGS-1,423.4804702,Tyr
143827,5,829.726807,436.499786,0h,MGS-1,344.9039334,Tyr
144842,10,829.726807,400.893494,0h,MGS-1,316.7692423,Tyr
145857,16,829.726807,384.034882,0h,MGS-1,303.4483221,Tyr
146872,0,829.726807,214.635529,0h,MGS-1,159.6180312,Tyr
147887,5,829.726807,185.665512,0h,MGS-1,138.0738408,Tyr
148902,10,829.726807,174.356003,0h,MGS-1,129.6633353,Tyr
149917,16,829.726807,166.961975,0h,MGS-1,124.1646085,Tyr
150932,0,829.726807,97.018799,0h,MGS-1,83.84306391,Tyr
151947,5,829.726807,93.736687,0h,MGS-1,81.00663355,Tyr
152962,10,829.726807,95.976891,0h,MGS-1,82.94263609,Tyr
153977,16,829.726807,99.73407,0h,MGS-1,86.18951073,Tyr
154992,0,829.726807,1254.806885,0h,MGS-1,767.080794,Tyr
156007,5,829.726807,991.08313,0h,MGS-1,605.8628151,Tyr
157022,11,829.726807,866.953979,0h,MGS-1,529.9809555,Tyr
158037,16,829.726807,805.627014,0h,MGS-1,492.4909544,Tyr
159052,0,829.726807,73.003639,0h,MGS-1,51.10810745,Tyr
160067,5,829.726807,87.126556,0h,MGS-1,60.99519564,Tyr
161082,10,829.726807,89.958908,0h,MGS-1,62.97802918,Tyr
162097,16,829.726807,99.557014,0h,MGS-1,69.69733318,Tyr
163112,0,829.726807,69.9578705,72h,MMS-2,81.66895224,Tyr
164127,5,829.726807,108.0076497,72h,MMS-2,97.8260195,Tyr
165142,10,829.726807,96.75989783,72h,MMS-2,81.61647842,Tyr
166157,16,829.726807,104.0979003,72h,MMS-2,83.98666679,Tyr
167172,0,829.726807,71.397232,72h,MMS-2,46.59261703,Tyr
168187,5,829.726807,46.22337333,72h,MMS-2,29.27881697,Tyr
169202,10,829.726807,38.573115,72h,MMS-2,24.83343629,Tyr
170217,16,829.726807,36.75130967,72h,MMS-2,25.6700315,Tyr
171232,0,829.726807,15.50951133,72h,MMS-2,11.65659755,Tyr
172247,5,829.726807,13.52154533,72h,MMS-2,10.1625588,Tyr
173262,10,829.726807,12.69050733,72h,MMS-2,9.537929803,Tyr
174277,16,829.726807,12.06847767,72h,MMS-2,9.070358273,Tyr
175292,0,829.726807,-10.07631933,72h,MMS-2,17.95699729,Tyr
176307,5,829.726807,-8.346635167,72h,MMS-2,14.87395352,Tyr
177322,10,829.726807,-7.6424675,72h,MMS-2,13.61911291,Tyr
178337,16,829.726807,-6.6970405,72h,MMS-2,11.93458495,Tyr
179352,0,829.726807,47.23881017,72h,MMS-2,22.7647862,Tyr
180367,5,829.726807,26.45177467,72h,MMS-2,19.07542523,Tyr
181382,10,829.726807,24.51306917,72h,MMS-2,20.59975211,Tyr
182397,16,829.726807,21.228068,72h,MMS-2,21.44442538,Tyr
183412,0,829.726807,-8.984579667,72h,MMS-2,19.90857552,Tyr
184427,5,829.726807,20.82598883,72h,MMS-2,21.26599809,Tyr
185442,10,829.726807,25.34057117,72h,MMS-2,16.34502279,Tyr
186457,16,829.726807,37.02247617,72h,MMS-2,17.77475508,Tyr
187472,0,829.726807,38.93270367,72h,MMS-2,12.73559921,Tyr
188487,5,829.726807,32.03756967,72h,MMS-2,19.89715606,Tyr
189502,10,829.726807,28.46575667,72h,MMS-2,21.82977512,Tyr
190517,16,829.726807,27.04276283,72h,MMS-2,24.25565592,Tyr
191532,0,829.726807,29.22307333,72h,MMS-2,26.51288029,Tyr
192547,5,829.726807,10.650013,72h,MMS-2,20.6024357,Tyr
193562,10,829.726807,2.265130167,72h,MMS-2,17.95998594,Tyr
194577,16,829.726807,0.6817525,72h,MMS-2,18.40690535,Tyr
195592,0,829.726807,-53.31939183,72h,MMS-2,10.06524864,Tyr
196607,5,829.726807,-16.293855,72h,MMS-2,8.560908682,Tyr
197622,10,829.726807,0.4327755,72h,MMS-2,7.867142667,Tyr
198637,16,829.726807,12.87791817,72h,MMS-2,9.126751742,Tyr
199652,0,829.726807,46.69377133,72h,MMS-2,22.19925314,Tyr
200667,5,829.726807,35.31779483,72h,MMS-2,20.19372082,Tyr
201682,10,829.726807,40.86698667,72h,MMS-2,29.24585171,Tyr
202697,16,829.726807,40.02148433,72h,MMS-2,28.51066436,Tyr
203712,0,829.726807,17.115326,0h,MMS-2,26.93943945,Tyr
204727,5,829.726807,18.280706,0h,MMS-2,28.77391409,Tyr
205742,11,829.726807,18.956942,0h,MMS-2,29.83836682,Tyr
206757,16,829.726807,19.416647,0h,MMS-2,30.56141573,Tyr
207772,0,829.726807,-28.915495,0h,MMS-2,10.09909555,Tyr
208787,5,829.726807,-28.172295,0h,MMS-2,9.839487455,Tyr
209802,10,829.726807,-27.854914,0h,MMS-2,9.728658182,Tyr
210817,16,829.726807,-27.738552,0h,MMS-2,9.688006364,Tyr
211832,0,829.726807,9.339406,0h,MMS-2,19.34307755,Tyr
212847,5,829.726807,9.557811,0h,MMS-2,19.79528909,Tyr
213862,10,829.726807,10.050061,0h,MMS-2,20.81465545,Tyr
214877,16,829.726807,10.681151,0h,MMS-2,22.12181827,Tyr
215892,0,829.726807,-12.573147,0h,MMS-2,67.89000718,Tyr
216907,5,829.726807,-14.374727,0h,MMS-2,49.74602245,Tyr
217922,10,829.726807,6.567187,0h,MMS-2,66.95961682,Tyr
218937,16,829.726807,14.390787,0h,MMS-2,75.55635009,Tyr
219952,0,829.726807,122.361061,0h,MMS-2,88.55229309,Tyr
220967,5,829.726807,121.804733,0h,MMS-2,90.18011636,Tyr
221982,10,829.726807,39.96064,0h,MMS-2,76.641619,Tyr
222997,16,829.726807,30.330713,0h,MMS-2,77.26511636,Tyr
224012,0,829.726807,50.551991,0h,MMS-2,75.30436582,Tyr
225027,5,829.726807,50.987026,0h,MMS-2,75.952405,Tyr
226042,10,829.726807,51.010368,0h,MMS-2,75.98723555,Tyr
227057,16,829.726807,56.665257,0h,MMS-2,84.41116336,Tyr
228072,0,829.726807,60.934814,0h,MMS-2,33.95110664,Tyr
229087,5,829.726807,59.976521,0h,MMS-2,33.41712473,Tyr
230102,10,829.726807,57.970005,0h,MMS-2,32.29915536,Tyr
231117,16,829.726807,60.709633,0h,MMS-2,33.82566364,Tyr
232132,0,829.726807,85.79628,0h,MMS-2,61.54360273,Tyr
233147,5,829.726807,73.094017,0h,MMS-2,52.43196191,Tyr
234162,10,829.726807,65.070824,0h,MMS-2,46.67663727,Tyr
235177,16,829.726807,61.145645,0h,MMS-2,43.86098745,Tyr
236192,0,829.726807,-18.157354,0h,MMS-2,31.36290164,Tyr
237207,5,829.726807,-16.460106,0h,MMS-2,28.43125627,Tyr
238222,10,829.726807,-15.909132,0h,MMS-2,27.47991018,Tyr
239237,16,829.726807,-16.063919,0h,MMS-2,27.74679918,Tyr
240252,0,829.726807,80.619949,0h,MMS-2,65.44664827,Tyr
241267,5,829.726807,73.218178,0h,MMS-2,59.43793227,Tyr
242282,10,829.726807,71.501793,0h,MMS-2,58.04453836,Tyr
243297,16,829.726807,60.589684,0h,MMS-2,49.18617073,Tyr
244312,0,829.726807,30.4873315,72h,PRT,27.88154611,Tyr
245327,5,829.726807,10.39333925,72h,PRT,12.0362223,Tyr
246342,10,829.726807,4.6080975,72h,PRT,7.835027818,Tyr
247357,16,829.726807,0.387133,72h,PRT,4.887326886,Tyr
248372,0,829.726807,45.056427,72h,PRT,26.79551557,Tyr
249387,5,829.726807,16.12028125,72h,PRT,22.60478202,Tyr
250402,10,829.726807,8.85106475,72h,PRT,22.16353484,Tyr
251417,16,829.726807,5.31351275,72h,PRT,23.5326578,Tyr
252432,0,829.726807,-0.22639125,72h,PRT,41.00521707,Tyr
253447,5,829.726807,36.120201,72h,PRT,34.82596661,Tyr
254462,10,829.726807,48.592266,72h,PRT,31.75419423,Tyr
255477,16,829.726807,52.46180725,72h,PRT,30.60957545,Tyr
256492,0,829.726807,43.69234475,72h,PRT,39.8213987,Tyr
257507,5,829.726807,29.0237275,72h,PRT,30.01974845,Tyr
258522,10,829.726807,30.44446375,72h,PRT,33.46471341,Tyr
259537,16,829.726807,26.78839675,72h,PRT,30.40513343,Tyr
260552,0,829.726807,33.1595155,72h,PRT,32.62200025,Tyr
261567,5,829.726807,30.2431775,72h,PRT,20.61673816,Tyr
262582,10,829.726807,28.9133415,72h,PRT,16.1097948,Tyr
263597,16,829.726807,25.51143075,72h,PRT,10.10485345,Tyr
264612,0,829.726807,44.041813,72h,PRT,17.55755245,Tyr
265627,5,829.726807,28.82289875,72h,PRT,14.36703623,Tyr
266642,10,829.726807,23.86306775,72h,PRT,14.70141614,Tyr
267657,16,829.726807,21.10618975,72h,PRT,14.65715268,Tyr
268672,0,829.726807,14.750041,72h,PRT,42.28642368,Tyr
269687,5,829.726807,-0.93155575,72h,PRT,26.19807825,Tyr
270702,11,829.726807,-9.527028,72h,PRT,17.83445432,Tyr
271717,16,829.726807,-9.43406675,72h,PRT,16.84064023,Tyr
272732,0,829.726807,10.16967575,72h,PRT,15.9790387,Tyr
273747,5,829.726807,3.6529495,72h,PRT,22.40402091,Tyr
274762,10,829.726807,-6.047512,72h,PRT,16.90995164,Tyr
275777,16,829.726807,-7.13159325,72h,PRT,17.57022877,Tyr
276792,0,829.726807,3.463781,72h,PRT,17.03730591,Tyr
277807,5,829.726807,2.37410175,72h,PRT,13.27635934,Tyr
278822,10,829.726807,5.89671175,72h,PRT,15.71810198,Tyr
279837,16,829.726807,15.62504675,72h,PRT,25.07101055,Tyr
280852,0,829.726807,-2.0117785,72h,PRT,10.42585248,Tyr
281867,5,829.726807,-3.04234425,72h,PRT,11.78507157,Tyr
282882,11,829.726807,-0.135922,72h,PRT,15.89802907,Tyr
283897,16,829.726807,0.080678,72h,PRT,16.13491441,Tyr
284912,0,829.726807,345.720276,0h,PRT,202.2331645,Tyr
285927,5,829.726807,298.215698,0h,PRT,174.4447255,Tyr
286942,10,829.726807,280.06015,0h,PRT,163.8245475,Tyr
287957,16,829.726807,262.312866,0h,PRT,153.4431088,Tyr
288972,0,829.726807,100.766747,0h,PRT,89.48498091,Tyr
289987,5,829.726807,90.562485,0h,PRT,80.42306873,Tyr
291002,10,829.726807,90.587463,0h,PRT,80.44527691,Tyr
292017,16,829.726807,88.089035,0h,PRT,78.22682164,Tyr
293032,0,829.726807,117.278015,0h,PRT,89.45713882,Tyr
294047,5,829.726807,104.475784,0h,PRT,79.69187282,Tyr
295062,10,829.726807,100.563332,0h,PRT,76.70760736,Tyr
296077,16,829.726807,98.05542,0h,PRT,74.79464273,Tyr
297092,0,829.726807,79.164818,0h,PRT,27.92477855,Tyr
298107,5,829.726807,74.306595,0h,PRT,26.21101373,Tyr
299122,10,829.726807,74.344673,0h,PRT,26.22438709,Tyr
300137,16,829.726807,73.675484,0h,PRT,25.98840455,Tyr
301152,0,829.726807,26.95413,0h,PRT,84.32882145,Tyr
302167,5,829.726807,92.646858,0h,PRT,83.39897973,Tyr
303182,10,829.726807,131.472534,0h,PRT,90.20187673,Tyr
304197,16,829.726807,149.239105,0h,PRT,91.86089145,Tyr
305212,0,829.726807,57.63995,0h,PRT,78.21371309,Tyr
306227,5,829.726807,134.06514,0h,PRT,89.21815064,Tyr
307242,10,829.726807,155.632065,0h,PRT,87.17856736,Tyr
308257,16,829.726807,146.86116,0h,PRT,81.25116573,Tyr
309272,0,829.726807,44.321964,0h,PRT,44.28167045,Tyr
310287,5,829.726807,58.524513,0h,PRT,46.86730273,Tyr
311302,10,829.726807,130.000092,0h,PRT,63.32161491,Tyr
312317,16,829.726807,158.110748,0h,PRT,69.52658455,Tyr
313332,0,829.726807,192.831665,0h,PRT,132.7553379,Tyr
314347,5,829.726807,103.999687,0h,PRT,120.8756757,Tyr
315362,10,829.726807,18.131502,0h,PRT,105.9905115,Tyr
316377,16,829.726807,-9.418931,0h,PRT,109.380057,Tyr
317392,0,829.726807,44.080276,0h,PRT,29.29508655,Tyr
318407,5,829.726807,11.727742,0h,PRT,27.39139091,Tyr
319422,10,829.726807,-14.760802,0h,PRT,29.41057264,Tyr
320437,16,829.726807,-28.585836,0h,PRT,29.37192582,Tyr
321452,0,829.726807,343.444672,0h,PRT,183.0974975,Tyr
322467,5,829.726807,223.268875,0h,PRT,161.3713845,Tyr
323482,10,829.726807,193.927673,0h,PRT,155.4197787,Tyr
324497,16,829.726807,183.573257,0h,PRT,155.5312575,Tyr
